CDID,Type,Category ID,Description,Group,Level 1,Level 2,Level 3,Baseline Year
CHZQ,HICP,0,HICP (Overall index),0. ALL ITEMS,,,,
D7BT,CPI INDEX,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
D7G7,CPI ANNUAL RATE,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
D7OE,CPI MONTHLY RATE,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
JF4D,CPIH HISTORICAL MODELLED INDEX,0,ALL ITEMS 1965=100,0. ALL ITEMS,,,,1965=100
JFCP,CPIH HISTORICAL MODELLED ANNUAL RATE,0,ALL ITEMS,0. ALL ITEMS,,,,
JFDB,CPIH HISTORICAL MODELLED WEIGHTS,0,ALL ITEMS,0. ALL ITEMS,,,,
JFDN,CPI HISTORICAL MODELLED INDEX,0,ALL ITEMS 1965=100,0. ALL ITEMS,,,,1965=100
JFDZ,CPI HISTORICAL MODELLED ANNUAL RATE,0,ALL ITEMS,0. ALL ITEMS,,,,
JFEU,CPI HISTORICAL MODELLED WEIGHTS,0,ALL ITEMS,0. ALL ITEMS,,,,
L522,CPIH INDEX,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
L55O,CPIH ANNUAL RATE,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
L59C,CPIH MONTHLY RATE,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
L5CY,CPIH WEIGHTS,0,Overall index,0. ALL ITEMS,,,,
J2I7,CPIH INDEX,01.1.1.1,CPIH INDEX  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
J32C,CPIH ANNUAL RATE,01.1.1.1,CPIH ANNUAL RATE  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
J3K2,CPIH MONTHLY RATE,01.1.1.1,CPIH MONTHLY RATE  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
J48X,CPIH WEIGHTS,01.1.1.1,CPIH WEIGHTS  Rice,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,
L78H,CPI INDEX,01.1.1.1,CPI INDEX  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
L7JM,CPI ANNUAL RATE,01.1.1.1,CPI ANNUAL RATE  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
L7UB,CPI MONTHLY RATE,01.1.1.1,CPI MONTHLY RATE  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
L83B,CPI WEIGHTS,01.1.1.1,CPI WEIGHTS  Rice,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,
J2I8,CPIH INDEX,01.1.1.2,CPIH INDEX  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
J32D,CPIH ANNUAL RATE,01.1.1.2,CPIH ANNUAL RATE  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
J3K3,CPIH MONTHLY RATE,01.1.1.2,CPIH MONTHLY RATE  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
J48Z,CPIH WEIGHTS,01.1.1.2,CPIH WEIGHTS  Flours and other cereals,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,
L78I,CPI INDEX,01.1.1.2,CPI INDEX  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
L7JN,CPI ANNUAL RATE,01.1.1.2,CPI ANNUAL RATE  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
L7UC,CPI MONTHLY RATE,01.1.1.2,CPI MONTHLY RATE  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
L83C,CPI WEIGHTS,01.1.1.2,CPI WEIGHTS  Flours and other cereals,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,
J2I9,CPIH INDEX,01.1.1.3,CPIH INDEX  Bread 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.3. Bread,2015=100
J32E,CPIH ANNUAL RATE,01.1.1.3,CPIH ANNUAL RATE  Bread 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.3. Bread,2015=100
J3K4,CPIH MONTHLY RATE,01.1.1.3,CPIH MONTHLY RATE  Bread 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.3. Bread,2015=100
J493,CPIH WEIGHTS,01.1.1.3,CPIH WEIGHTS  Bread,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.3. Bread,
L78J,CPI INDEX,01.1.1.3,CPI INDEX  Bread 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.3. Bread,2015=100
L7JO,CPI ANNUAL RATE,01.1.1.3,CPI ANNUAL RATE  Bread 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.3. Bread,2015=100
L7UD,CPI MONTHLY RATE,01.1.1.3,CPI MONTHLY RATE  Bread 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.3. Bread,2015=100
L83H,CPI WEIGHTS,01.1.1.3,CPI WEIGHTS  Bread,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.3. Bread,
J2IA,CPIH INDEX,01.1.1.4,CPIH INDEX  Other bakery products 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.4. Other bakery products,2015=100
J32F,CPIH ANNUAL RATE,01.1.1.4,CPIH ANNUAL RATE  Other bakery products 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.4. Other bakery products,2015=100
J3K5,CPIH MONTHLY RATE,01.1.1.4,CPIH MONTHLY RATE  Other bakery products 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.4. Other bakery products,2015=100
J495,CPIH WEIGHTS,01.1.1.4,CPIH WEIGHTS  Other bakery products,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.4. Other bakery products,
L78K,CPI INDEX,01.1.1.4,CPI INDEX  Other bakery products 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.4. Other bakery products,2015=100
L7JP,CPI ANNUAL RATE,01.1.1.4,CPI ANNUAL RATE  Other bakery products 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.4. Other bakery products,2015=100
L7UE,CPI MONTHLY RATE,01.1.1.4,CPI MONTHLY RATE  Other bakery products 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.4. Other bakery products,2015=100
L83S,CPI WEIGHTS,01.1.1.4,CPI WEIGHTS  Other bakery products,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.4. Other bakery products,
J2IB,CPIH INDEX,01.1.1.5,CPIH INDEX  Pizza and quiche 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.5. Pizza and quiche,2015=100
J32G,CPIH ANNUAL RATE,01.1.1.5,CPIH ANNUAL RATE  Pizza and quiche 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.5. Pizza and quiche,2015=100
J3K6,CPIH MONTHLY RATE,01.1.1.5,CPIH MONTHLY RATE  Pizza and quiche 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.5. Pizza and quiche,2015=100
J497,CPIH WEIGHTS,01.1.1.5,CPIH WEIGHTS  Pizza and quiche,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.5. Pizza and quiche,
L78M,CPI INDEX,01.1.1.5,CPI INDEX  Pizza and quiche 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.5. Pizza and quiche,2015=100
L7JQ,CPI ANNUAL RATE,01.1.1.5,CPI ANNUAL RATE  Pizza and quiche 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.5. Pizza and quiche,2015=100
L7UF,CPI MONTHLY RATE,01.1.1.5,CPI MONTHLY RATE  Pizza and quiche 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.5. Pizza and quiche,2015=100
L83T,CPI WEIGHTS,01.1.1.5,CPI WEIGHTS  Pizza and quiche,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.5. Pizza and quiche,
J2IC,CPIH INDEX,01.1.1.6,CPIH INDEX  Pasta products and couscous 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.6. Pasta products and couscous,2015=100
J32H,CPIH ANNUAL RATE,01.1.1.6,CPIH ANNUAL RATE  Pasta products and couscous 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.6. Pasta products and couscous,2015=100
J3L5,CPIH MONTHLY RATE,01.1.1.6,CPIH MONTHLY RATE  Pasta products and couscous 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.6. Pasta products and couscous,2015=100
J499,CPIH WEIGHTS,01.1.1.6,CPIH WEIGHTS  Pasta products and couscous,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.6. Pasta products and couscous,
L78N,CPI INDEX,01.1.1.6,CPI INDEX  Pasta products and couscous 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.6. Pasta products and couscous,2015=100
L7JT,CPI ANNUAL RATE,01.1.1.6,CPI ANNUAL RATE  Pasta products and couscous 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.6. Pasta products and couscous,2015=100
L7UG,CPI MONTHLY RATE,01.1.1.6,CPI MONTHLY RATE  Pasta products and couscous 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.6. Pasta products and couscous,2015=100
L844,CPI WEIGHTS,01.1.1.6,CPI WEIGHTS  Pasta products and couscous,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.6. Pasta products and couscous,
J2ID,CPIH INDEX,01.1.1.7,CPIH INDEX /8 Breakfast cereals and other cereal products 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.7. Breakfast cereals and other cereal products,2015=100
J32I,CPIH ANNUAL RATE,01.1.1.7,CPIH ANNUAL RATE /8 Breakfast cereals and other cereal products 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.7. Breakfast cereals and other cereal products,2015=100
J3MS,CPIH MONTHLY RATE,01.1.1.7,CPIH MONTHLY RATE /8 Breakfast cereals and other cereal product 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.7. Breakfast cereals and other cereal products,2015=100
J49B,CPIH WEIGHTS,01.1.1.7,CPIH WEIGHTS /8 Breakfast cereals and other cereal products,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.7. Breakfast cereals and other cereal products,
L78O,CPI INDEX,01.1.1.7,CPI INDEX /8 Breakfast cereals and other cereal products 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.7. Breakfast cereals and other cereal products,2015=100
L7JU,CPI ANNUAL RATE,01.1.1.7,CPI ANNUAL RATE /8 Breakfast cereals and other cereal products 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.7. Breakfast cereals and other cereal products,2015=100
L7UH,CPI MONTHLY RATE,01.1.1.7,CPI MONTHLY RATE /8 Breakfast cereals and other cereal products 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.7. Breakfast cereals and other cereal products,2015=100
L846,CPI WEIGHTS,01.1.1.7,CPI WEIGHTS /8 Breakfast cereals and other cereal products,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.7. Breakfast cereals and other cereal products,
CJWB,CPI WEIGHTS,01.1.1,BREAD & CEREALS,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,,
D7D5,CPI INDEX,01.1.1,BREAD & CEREALS 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,,2015=100
D7HH,CPI ANNUAL RATE,01.1.1,BREAD & CEREALS 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,,2015=100
D7KR,CPI MONTHLY RATE,01.1.1,BREAD & CEREALS 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,,2015=100
L52I,CPIH INDEX,01.1.1,BREAD & CEREALS 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,,2015=100
L566,CPIH ANNUAL RATE,01.1.1,BREAD & CEREALS 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,,2015=100
L59S,CPIH MONTHLY RATE,01.1.1,BREAD & CEREALS 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,,2015=100
L5DH,CPIH WEIGHTS,01.1.1,BREAD & CEREALS,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,,
J2IF,CPIH INDEX,01.1.2.1,CPIH INDEX  Beef and veal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.1. Beef and veal,2015=100
J32K,CPIH ANNUAL RATE,01.1.2.1,CPIH ANNUAL RATE  Beef and veal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.1. Beef and veal,2015=100
J3NC,CPIH MONTHLY RATE,01.1.2.1,CPIH MONTHLY RATE  Beef and veal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.1. Beef and veal,2015=100
J49F,CPIH WEIGHTS,01.1.2.1,CPIH WEIGHTS  Beef and veal,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.1. Beef and veal,
L78Q,CPI INDEX,01.1.2.1,CPI INDEX  Beef and veal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.1. Beef and veal,2015=100
L7JX,CPI ANNUAL RATE,01.1.2.1,CPI ANNUAL RATE  Beef and veal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.1. Beef and veal,2015=100
L7UL,CPI MONTHLY RATE,01.1.2.1,CPI MONTHLY RATE  Beef and veal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.1. Beef and veal,2015=100
L848,CPI WEIGHTS,01.1.2.1,CPI WEIGHTS  Beef and veal,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.1. Beef and veal,
J2IG,CPIH INDEX,01.1.2.2,CPIH INDEX  Pork 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.2. Pork,2015=100
J32L,CPIH ANNUAL RATE,01.1.2.2,CPIH ANNUAL RATE  Pork 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.2. Pork,2015=100
J3NL,CPIH MONTHLY RATE,01.1.2.2,CPIH MONTHLY RATE  Pork 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.2. Pork,2015=100
J49H,CPIH WEIGHTS,01.1.2.2,CPIH WEIGHTS  Pork,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.2. Pork,
L78R,CPI INDEX,01.1.2.2,CPI INDEX  Pork 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.2. Pork,2015=100
L7JY,CPI ANNUAL RATE,01.1.2.2,CPI ANNUAL RATE  Pork 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.2. Pork,2015=100
L7UM,CPI MONTHLY RATE,01.1.2.2,CPI MONTHLY RATE  Pork 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.2. Pork,2015=100
L849,CPI WEIGHTS,01.1.2.2,CPI WEIGHTS  Pork,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.2. Pork,
J2IH,CPIH INDEX,01.1.2.3,CPIH INDEX  Lamb and goat 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.3. Lamb and goat,2015=100
J32M,CPIH ANNUAL RATE,01.1.2.3,CPIH ANNUAL RATE  Lamb and goat 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.3. Lamb and goat,2015=100
J3NQ,CPIH MONTHLY RATE,01.1.2.3,CPIH MONTHLY RATE  Lamb and goat 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.3. Lamb and goat,2015=100
J49J,CPIH WEIGHTS,01.1.2.3,CPIH WEIGHTS  Lamb and goat,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.3. Lamb and goat,
L78S,CPI INDEX,01.1.2.3,CPI INDEX  Lamb and goat 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.3. Lamb and goat,2015=100
L7JZ,CPI ANNUAL RATE,01.1.2.3,CPI ANNUAL RATE  Lamb and goat 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.3. Lamb and goat,2015=100
L7UN,CPI MONTHLY RATE,01.1.2.3,CPI MONTHLY RATE  Lamb and goat 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.3. Lamb and goat,2015=100
L84A,CPI WEIGHTS,01.1.2.3,CPI WEIGHTS  Lamb and goat,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.3. Lamb and goat,
J2II,CPIH INDEX,01.1.2.4,CPIH INDEX  Poultry 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.4. Poultry,2015=100
J32N,CPIH ANNUAL RATE,01.1.2.4,CPIH ANNUAL RATE  Poultry 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.4. Poultry,2015=100
J3NU,CPIH MONTHLY RATE,01.1.2.4,CPIH MONTHLY RATE  Poultry 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.4. Poultry,2015=100
J49L,CPIH WEIGHTS,01.1.2.4,CPIH WEIGHTS  Poultry,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.4. Poultry,
L78U,CPI INDEX,01.1.2.4,CPI INDEX  Poultry 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.4. Poultry,2015=100
L7K2,CPI ANNUAL RATE,01.1.2.4,CPI ANNUAL RATE  Poultry 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.4. Poultry,2015=100
L7UO,CPI MONTHLY RATE,01.1.2.4,CPI MONTHLY RATE  Poultry 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.4. Poultry,2015=100
L84B,CPI WEIGHTS,01.1.2.4,CPI WEIGHTS  Poultry,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.4. Poultry,
J2IJ,CPIH INDEX,01.1.2.6,CPIH INDEX  Edible offal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.6. Edible offal,2015=100
J32O,CPIH ANNUAL RATE,01.1.2.6,CPIH ANNUAL RATE  Edible offal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.6. Edible offal,2015=100
J3NZ,CPIH MONTHLY RATE,01.1.2.6,CPIH MONTHLY RATE  Edible offal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.6. Edible offal,2015=100
J49N,CPIH WEIGHTS,01.1.2.6,CPIH WEIGHTS  Edible offal,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.6. Edible offal,
L78V,CPI INDEX,01.1.2.6,CPI INDEX  Edible offal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.6. Edible offal,2015=100
L7K4,CPI ANNUAL RATE,01.1.2.6,CPI ANNUAL RATE  Edible offal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.6. Edible offal,2015=100
L7UP,CPI MONTHLY RATE,01.1.2.6,CPI MONTHLY RATE  Edible offal 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.6. Edible offal,2015=100
L84C,CPI WEIGHTS,01.1.2.6,CPI WEIGHTS  Edible offal,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,01.1.2.6. Edible offal,
J2IK,CPIH INDEX,01.1.2.7,"CPIH INDEX  Dried, salted or smoked meat 2015=100",1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,"01.1.2.7. Dried, salted or smoked meat",2015=100
J32P,CPIH ANNUAL RATE,01.1.2.7,"CPIH ANNUAL RATE  Dried, salted or smoked meat 2015=100",1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,"01.1.2.7. Dried, salted or smoked meat",2015=100
J3O5,CPIH MONTHLY RATE,01.1.2.7,"CPIH MONTHLY RATE  Dried, salted or smoked meat 2015=100",1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,"01.1.2.7. Dried, salted or smoked meat",2015=100
J49P,CPIH WEIGHTS,01.1.2.7,"CPIH WEIGHTS  Dried, salted or smoked meat",1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,"01.1.2.7. Dried, salted or smoked meat",
L78W,CPI INDEX,01.1.2.7,"CPI INDEX  Dried, salted or smoked meat 2015=100",1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,"01.1.2.7. Dried, salted or smoked meat",2015=100
L7K6,CPI ANNUAL RATE,01.1.2.7,"CPI ANNUAL RATE  Dried, salted or smoked meat 2015=100",1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,"01.1.2.7. Dried, salted or smoked meat",2015=100
L7UQ,CPI MONTHLY RATE,01.1.2.7,"CPI MONTHLY RATE  Dried, salted or smoked meat 2015=100",1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,"01.1.2.7. Dried, salted or smoked meat",2015=100
L84D,CPI WEIGHTS,01.1.2.7,"CPI WEIGHTS  Dried, salted or smoked meat",1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.2 MEAT,"01.1.2.7. Dried, salted or smoked meat",
